Sample,Condition
GSM2971168,Control
GSM2971169,Control
GSM2971170,Control
GSM2971171,Control
GSM2971172,Control
GSM2971173,Control
GSM2971174,Control
GSM2971175,Control
GSM2971176,Control
GSM2971177,Case
GSM2971178,Case
GSM2971179,Case
GSM2971180,Case
GSM2971181,Case
GSM2971182,Case
GSM2971183,Case
GSM2971184,Case
GSM2971185,Case
GSM2971186,Case
GSM2971187,Case
GSM2971188,Case
GSM2971189,Case
GSM2971190,Case
GSM2971191,Case
GSM2971192,Case
GSM2971193,Case
GSM2971194,Case
GSM2971195,Case
GSM2971196,Case
